BAYNUM,LONG,LAT
1,-67.062961,44.75514
2,-67.300999,44.628953
3,-67.501054,44.579697
4,-67.557507,44.503723
5,-67.678082,44.472329
6,-67.91188,44.421915
7,-68.200454,44.253909
8,-68.46442,44.203737
9,-68.624052,44.178587
10,-68.5786,44.060188
11,-68.429645,44.368199
12,-70.449246,43.299381
13,-70.140542,43.687321
14,-69.671131,43.825304
16,-69.359151,43.90302
17,-68.990286,43.871073
18,-68.799093,44.269322
19,-68.796628,44.081865
20,-68.862806,44.413587
21,-69.01566,44.179364
22,-69.098285,43.998261
23,-68.437065,44.122992
24,-68.668504,44.024305
25,-68.927366,44.09034
26,-69.932724,43.76874
27,-70.606982,43.005318
