"BAYNUM","BAYCODE","BAYDESC"
1,"COBSB","Cobscook Bay"
2,"MACHB","Machias Bay"
3,"ENGB","Englishman’s Bay"
4,"EB","Eastern Bay"
5,"WB","Western Bay"
6,"PNDB","Pleasant, Narguagus, Denny Bays"
7,"FBMDI","Frenchman Bay & Mount Desert Island"
8,"BHBSI","Blue Hill Bay – Swans Island"
9,"BHBMR","Blue Hill Bay – Merchants Row"
10,"BHBIH","Blue Hill Bay – Isle au Haut"
11,"BHBUP","Blue Hill Bay – Upper"
12,"CELPT","Cape Elizabeth to Isle of Shoals"
13,"CASB","Casco Bay"
14,"BOSHB","Boothbay and Sheepscot Bay"
15,"PS","Pumpkin and Seguin Island"
16,"MUSCB","Muscongus Bay"
17,"OUTIS","Outer Islands"
18,"PBEA","Penobscot Bay – Eastern"
19,"PBVL","Penobscot Bay – Vinalhaven"
20,"PBUP","Penobscot Bay – Upper Bay"
21,"PBMW","Penobscot Bay – Midwest"
22,"PBMC","Penobscot Bay – Muscle Channel"
23,"BHBIHE","Blue Hill Bay – Isle au Haut – East"
24,"BHBIHW","Blue Hill Bay – Isle au Haut – West"
25,"PBVLW","Penobscot Bay – Vinalhaven – West"
26,"CASBE","Casco Bay - East"
27,"IS","Isles of Shoals"
